time,latitude,longitude,elevation
2021-06-10 07:23:50.512000+00:00,48.21065139770508,9.028082847595215,772.158935546875
2021-06-10 07:23:51.811000+00:00,48.21066665649414,9.028083801269531,772.1126708984375
2021-06-10 07:23:53.090000+00:00,48.21067810058594,9.028076171875,772.1126708984375
2021-06-10 07:23:54.222000+00:00,48.21067810058594,9.028051376342773,772.0639038085938
2021-06-10 07:23:54.828000+00:00,48.21067810058594,9.028010368347168,772.3128662109375
2021-06-10 07:23:55.287000+00:00,48.210670471191406,9.02798843383789,772.2796630859375
2021-06-10 07:23:56.071000+00:00,48.210670471191406,9.027972221374512,772.2796630859375
2021-06-10 07:23:56.863000+00:00,48.210670471191406,9.027956008911133,772.2974243164062
2021-06-10 07:23:58.501000+00:00,48.21067428588867,9.027933120727539,772.2974243164062
2021-06-10 07:23:59.617000+00:00,48.2106819152832,9.02791690826416,772.2989501953125
2021-06-10 07:24:02.057000+00:00,48.21068572998047,9.027871131896973,772.5568237304688
2021-06-10 07:24:02.852000+00:00,48.21067810058594,9.027850151062012,772.4971923828125
2021-06-10 07:24:03.555000+00:00,48.21067810058594,9.027835845947266,772.4971923828125
2021-06-10 07:24:04.421000+00:00,48.21067810058594,9.02782154083252,772.4971923828125
2021-06-10 07:24:05.594000+00:00,48.21067810058594,9.027803421020508,772.4390869140625
2021-06-10 07:24:06.805000+00:00,48.21067810058594,9.027785301208496,772.4390869140625
2021-06-10 07:24:07.962000+00:00,48.21067810058594,9.027750015258789,772.5609741210938
2021-06-10 07:24:08.864000+00:00,48.21067428588867,9.02773666381836,772.5455932617188
2021-06-10 07:24:10.107000+00:00,48.210670471191406,9.027714729309082,772.5455932617188
2021-06-10 07:24:11.333000+00:00,48.21066665649414,9.027691841125488,772.601318359375
2021-06-10 07:24:12.435000+00:00,48.210662841796875,9.027673721313477,772.601318359375
2021-06-10 07:24:13.679000+00:00,48.21065902709961,9.027654647827148,772.57861328125
2021-06-10 07:24:14.515000+00:00,48.210655212402344,9.02762222290039,772.8772583007812
2021-06-10 07:24:16.832000+00:00,48.21064376831055,9.027631759643555,772.8146362304688
2021-06-10 07:24:17.454000+00:00,48.21063995361328,9.0276460647583,772.8146362304688
2021-06-10 07:24:18.604000+00:00,48.21063232421875,9.027664184570312,772.8146362304688
2021-06-10 07:24:19.163000+00:00,48.210628509521484,9.027680397033691,772.754150390625
2021-06-10 07:24:20.842000+00:00,48.21062088012695,9.02772045135498,773.029052734375
2021-06-10 07:24:21.419000+00:00,48.21062088012695,9.027737617492676,772.9442749023438
2021-06-10 07:24:22.060000+00:00,48.21062088012695,9.027752876281738,772.9442749023438
2021-06-10 07:24:22.555000+00:00,48.21061706542969,9.027766227722168,772.9442749023438
2021-06-10 07:24:23.130000+00:00,48.21061706542969,9.027783393859863,772.8723754882812
2021-06-10 07:24:24.257000+00:00,48.21061325073242,9.027812004089355,772.8723754882812
2021-06-10 07:24:24.813000+00:00,48.21061325073242,9.027827262878418,772.8723754882812
2021-06-10 07:24:25.390000+00:00,48.21061325073242,9.027852058410645,772.8159790039062
2021-06-10 07:24:25.951000+00:00,48.21061325073242,9.027868270874023,772.8159790039062
2021-06-10 07:24:26.512000+00:00,48.21061325073242,9.027885437011719,772.8159790039062
2021-06-10 07:24:27.808000+00:00,48.210609436035156,9.027947425842285,772.5234985351562
2021-06-10 07:24:28.775000+00:00,48.210609436035156,9.027972221374512,772.5234985351562
2021-06-10 07:24:29.337000+00:00,48.210609436035156,9.02798843383789,772.4978637695312
2021-06-10 07:24:30.071000+00:00,48.210609436035156,9.02800464630127,772.4978637695312
2021-06-10 07:24:31.019000+00:00,48.21061706542969,9.028027534484863,772.4825439453125
2021-06-10 07:24:31.643000+00:00,48.21061706542969,9.028040885925293,772.4825439453125
2021-06-10 07:24:32.770000+00:00,48.21062088012695,9.02806568145752,772.4825439453125
2021-06-10 07:24:33.917000+00:00,48.210636138916016,9.028106689453125,772.162841796875
2021-06-10 07:24:34.475000+00:00,48.210636138916016,9.028120994567871,772.162841796875
2021-06-10 07:24:35.637000+00:00,48.21063995361328,9.028144836425781,772.1168212890625
2021-06-10 07:24:36.728000+00:00,48.21063995361328,9.028160095214844,772.1168212890625
2021-06-10 07:24:38.438000+00:00,48.21063995361328,9.028176307678223,772.0972900390625
2021-06-10 07:24:39.612000+00:00,48.21063995361328,9.028192520141602,772.1535034179688
2021-06-10 07:24:40.189000+00:00,48.210636138916016,9.028229713439941,772.0640258789062
2021-06-10 07:24:41.335000+00:00,48.210636138916016,9.028250694274902,772.0579223632812
2021-06-10 07:24:42.509000+00:00,48.21063232421875,9.02826976776123,772.0579223632812
2021-06-10 07:24:44.838000+00:00,48.21063232421875,9.028286933898926,772.0748291015625
2021-06-10 07:24:46.638000+00:00,48.21063232421875,9.028319358825684,772.085693359375
2021-06-10 07:24:47.787000+00:00,48.210628509521484,9.02833080291748,772.13525390625
2021-06-10 07:24:48.833000+00:00,48.21062469482422,9.028346061706543,772.0735473632812
2021-06-10 07:24:50.090000+00:00,48.210628509521484,9.028362274169922,772.0735473632812
2021-06-10 07:24:52.020000+00:00,48.21063232421875,9.02839469909668,772.1309814453125
2021-06-10 07:24:53.141000+00:00,48.210628509521484,9.028427124023438,772.1641845703125
2021-06-10 07:24:54.251000+00:00,48.21062088012695,9.028443336486816,772.1641845703125
2021-06-10 07:24:55.458000+00:00,48.21062088012695,9.028462409973145,772.1146240234375
2021-06-10 07:24:56.609000+00:00,48.21062088012695,9.02847957611084,772.1146240234375
