Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Gehen – Dauer (ms)
13:00:00.000+02:00,13:15:00.000+02:00,3,26.446287520948665,228.26747841683434,2.0,2,,,,,1.1115868941454783,1.414824366569519,0.3386419713497162,307,,,,146518
13:15:00.000+02:00,13:30:00.000+02:00,1,19.540375323506325,45.13575987967446,,,,,,,5.2756335735321045,9.265443801879883,1.2858233451843262,61,,,,35102
13:30:00.000+02:00,13:45:00.000+02:00,9,49.22549547136744,532.0976644538335,4.0,4,48.25469970703125,9.020966529846191,48.25509262084961,9.021384239196777,1.0466333024329046,1.5171657800674438,0.3386419713497162,719,,,,514020
13:45:00.000+02:00,14:00:00.000+02:00,10,53.7285908804052,679.1899722115273,6.0,6,,,,,1.2427510666101629,1.5805195569992065,0.6797550320625305,907,,,,586670
14:00:00.000+02:00,14:15:00.000+02:00,15,73.14999389838052,1210.9138633547873,12.0,12,,,,,1.3647525570528851,1.5691542625427246,1.0280479192733765,1607,,,,900000
14:15:00.000+02:00,14:30:00.000+02:00,5,34.33921794172086,403.75163737761784,4.0,4,,,,,1.4886127993758849,1.6234544515609741,1.3357824087142944,522,,,,273856
14:30:00.000+02:00,14:45:00.000+02:00,,17.64468806383987,,,,,,,,,,,2,,,,4519
14:45:00.000+02:00,15:00:00.000+02:00,11,59.67509310722786,972.8288469314575,11.0,9,,,,,1.4369704545339477,1.853706955909729,0.3386419415473938,1238,,,,682606
15:00:00.000+02:00,15:15:00.000+02:00,,17.3645817773192,,,,,,,,3.0860977172851562,3.0860977172851562,3.0860977172851562,,,,,
15:15:00.000+02:00,15:30:00.000+02:00,4,33.22357062485381,255.89047241210938,2.0,2,,,,,1.315323098494949,1.6828150749206543,0.3386419415473938,323,,,,255857
15:30:00.000+02:00,15:45:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
15:45:00.000+02:00,16:00:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
16:00:00.000+02:00,16:15:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
16:15:00.000+02:00,16:30:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
16:30:00.000+02:00,16:45:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
16:45:00.000+02:00,17:00:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
17:00:00.000+02:00,17:15:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
17:15:00.000+02:00,17:30:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
17:30:00.000+02:00,17:45:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
17:45:00.000+02:00,18:00:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
18:00:00.000+02:00,18:15:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
18:15:00.000+02:00,18:30:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
18:30:00.000+02:00,18:45:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
18:45:00.000+02:00,19:00:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
19:00:00.000+02:00,19:15:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
19:15:00.000+02:00,19:30:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
19:30:00.000+02:00,19:45:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
19:45:00.000+02:00,20:00:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
20:00:00.000+02:00,20:15:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
20:15:00.000+02:00,20:30:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
20:30:00.000+02:00,20:45:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
20:45:00.000+02:00,21:00:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
21:00:00.000+02:00,21:15:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
21:15:00.000+02:00,21:30:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
21:30:00.000+02:00,21:45:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
21:45:00.000+02:00,22:00:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
22:00:00.000+02:00,22:15:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
22:15:00.000+02:00,22:30:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
22:30:00.000+02:00,22:45:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
22:45:00.000+02:00,23:00:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
23:00:00.000+02:00,23:15:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
23:15:00.000+02:00,23:30:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
23:30:00.000+02:00,23:45:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
23:45:00.000+02:00,00:00:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,
